kind,name,record_group,has_query,query_preview
LOV,LOV_AFILIADOS,RG_LISTA_AFILIADOS,,
LOV,LOV_AFILIADO_REEMB,RG_AFILIADO_REEMB,,
LOV,LOV_BANCO,RG_BANCO,,
LOV,LOV_CENTRO_LAB_PSS,RG_CENTRO_LABORA,,
LOV,LOV_CIUDAD_PSS,RG_CIUDAD,,
LOV,LOV_COBERTURAS,RG_COBERTURAS,,
LOV,LOV_DIAGNOSTICO,RG_DIAGNOSTICO,,
LOV,LOV_DUMMY,RGRP_DUMMY,,
LOV,LOV_ENDOSOS,RG_ENDOSOS,,
LOV,LOV_ESPECIALIDAD,RG_ESPECIALIDAD,,
LOV,LOV_ESPEC_MED_ADD,RG_ESPEC_MED_ADD,,
LOV,LOV_ESTADO_PSS,RG_ESTADO,,
LOV,LOV_GRUPO_COBERTURA,RG_GRUPO_COBERTURA,,
LOV,LOV_HIST_FALLECIDO,RG_HIST_FALLECIDO,,
LOV,LOV_MEDICOS,RG_MEDICOS,,
LOV,LOV_NUMERO_CUENTA,RG_NUMERO_CUENTA,,
LOV,LOV_PAIS_PSS,RG_PAIS,,
LOV,LOV_PLAN_ASEGURADO,RG_PLAN_ASEGURADO,,
LOV,LOV_PRESTADORES_ADD,RG_PRESTADORES_ADD,,
LOV,LOV_SUB_GRUPO_SER,RG_SUB_GRUPO_SER,,
LOV,LOV_SUCURSAL,RG_SUCURSAL,,
LOV,LOV_USUARIO_APROB,RG_USUARIO_APROB,,
RecordGroup,RGRP_DUMMY,,NO,
RecordGroup,RG_AFILIADO_REEMB,,YES,"select A.ASEGURADO,A.SECUENCIA,LPAD(A.Asegurado, 7, '0') || LPAD(A.secuencia, 3, '0') NO_AFI,A.TIP_ASE from ase_dep01_V A"
RecordGroup,RG_BANCO,,YES,"SELECT CODIGO, DESCRIPCION FROM BANCO_NUM_CTA ORDER BY 1"
RecordGroup,RG_CENTRO_LABORA,,YES,"SELECT DISTINCT H.CODIGO AS PROVEEDOR_ID, I.NOMBRE AS NOMBRE, DECODE(H.RED_COBERTURA,1,'Dentro de la red', 'Fuera de la red') AS ESTATUS, M.DESCRIPCION AS SUB_TIPO_CENTRO, H.ID ID_INTERNO,H.TIPO_CENTRO_MEDICO_ID FROM PROVEEDOR H, PROVEEDOR_ESTATUS ES, INSTI..."
RecordGroup,RG_CIUDAD,,YES,"select codigo, descripcion from municipio where provincia = :CREA_PSS.ESTADO_PSS order by codigo"
RecordGroup,RG_COBERTURAS,,YES,"select distinct x.codigo, x.descripcion from pla_stc p,cobertura_salud x where p.plan= :SOLICITUD_SERVICIO.CODIGO_PLAN and p.servicio= :SOLICITUD_SERVICIO.TIPO_SERVICIO and :SOLICITUD_SERVICIO.TIPO_SERVICIO!=8 and p.estatus = (SELECT G.CODIGO FROM ESTATUS G..."
RecordGroup,RG_DIAGNOSTICO,,YES,"SELECT CODIGO, DESCRIPCION FROM DIAGNOSTICO D WHERE NOT EXISTS (SELECT 1 FROM CG_REF_CODES A WHERE RV_ABBREVIATION = 'DIAGNOSTICO_EXCLUIR' AND RV_LOW_VALUE = D.CODIGO AND COMPANIA = :GLOBAL.COD_COMPANIA)"
RecordGroup,RG_ENDOSOS,,YES,"SELECT CODIGO, DESC_ENDOSO FROM TEM_ENDOSO_LOCAL WHERE USUARIO = USER"
RecordGroup,RG_ESPECIALIDAD,,YES,"SELECT E.ID CODIGO, E.NOMBRE FROM ESPECIALIDAD E, PROVEEDOR_ESPECIALIDAD PE WHERE E.ID = PE.ESPECIALIDAD_ID AND PE.PROVEEDOR_ID = :SOLICITUD_SERVICIO.MEDICO UNION ALL SELECT E.ID, E.NOMBRE FROM ESPECIALIDAD E WHERE NOT EXISTS (SELECT 1 FROM PROVEEDOR_ESPECI..."
RecordGroup,RG_ESPEC_MED_ADD,,YES,"SELECT E.ID CODIGO, E.NOMBRE FROM ESPECIALIDAD E, PROVEEDOR_ESPECIALIDAD PE WHERE E.ID = PE.ESPECIALIDAD_ID AND PE.PROVEEDOR_ID = :BUSCA_SERVICIO.ID_PRESTADOR UNION ALL SELECT E.ID, E.NOMBRE FROM ESPECIALIDAD E WHERE NOT EXISTS (SELECT 1 FROM PROVEEDOR_ESPE..."
RecordGroup,RG_ESTADO,,YES,"select codigo, descripcion from provincia where pais = :CREA_PSS.PAIS_PSS order by codigo"
RecordGroup,RG_GRUPO_COBERTURA,,YES,"SELECT distinct GC.CODIGO, GC.DESCRIPCION FROM PLAN_GRUPO_COBERTURA PC, GRUPO_COBERTURA GC WHERE PC.GRUPO = GC.CODIGO AND PC.PLAN = :SOLICITUD_SERVICIO.CODIGO_PLAN /*AND PC.PRINCIPAL = 'S'*/ AND PC.ESTATUS = (SELECT E.CODIGO FROM ESTATUS E WHERE E.TIPO = 'P..."
RecordGroup,RG_HIST_FALLECIDO,,YES,"select fallecido, razon, to_char(fec_tra,'dd/mm/yyyy hh:mi:ss am') fec_tra, usuario from fallecido_razon where asegurado = :FALLEC.COD_ASE and dependiente = :FALLEC.COD_DEP order by fec_tra"
RecordGroup,RG_LISTA_AFILIADOS,,YES,"SELECT LPAD (AP.ASEGURADO, 7, 0) || LPAD (0, 3, 0) NO_AFILIADO, 'ASEGURADO' TIPO_AFIALIADO, ( A.PRI_APE || ' ' || A.SEG_APE || ', ' || A.PRI_NOM || ' ' || A.SEG_NOM) NOMBRE, A.CODIGO ASEGURADO, 0 SECUENCIA FROM ASEGURADO A, ASE_POL AP WHERE AP.ASEGURADO = :..."
RecordGroup,RG_MEDICOS,,YES,"SELECT PV.CODIGO, /*P.PRIMER_NOMBRE|| DECODE(P.SEGUNDO_NOMBRE,NULL,'',' '||P.SEGUNDO_NOMBRE)|| DECODE(P.PRIMER_APELLIDO,NULL,'',' '||P.PRIMER_APELLIDO)|| DECODE(P.SEGUNDO_APELLIDO,NULL,'',' '||P.SEGUNDO_APELLIDO) NOMBRE*/ REPLACE(P.PRIMER_NOMBRE||' '||P.SEG..."
RecordGroup,RG_NUMERO_CUENTA,,YES,"SELECT /*A.CODIGO CODIGO_CUENTA,*/ A.NUM_CTA NUMERO_CUENTA_PROPIETARIO, /*DECODE(A.TIP_CTA,'A','Ahorro','Corriente') TIPO_CUENTA_PROPIETARIO,*/ A.BANCO CODIGO_BANCO, C.DESCRIPCION NOMBRE_BANCO, /*NULL COD_SISAL,*/ DECODE(A.TIP_CTA,'A','AHOR','CORR') COD_TIP..."
RecordGroup,RG_PAIS,,YES,"select codigo, descripcion from pais order by codigo"
RecordGroup,RG_PLAN_ASEGURADO,,YES,"SELECT CODIGO, DESCRIPCION, TIP_PLA, DSP_TIP_PLAN FROM TEMP_PLANES_ASE_REEMB_SERV"
RecordGroup,RG_PRESTADORES_ADD,,YES,"SELECT DISTINCT /*TO_CHAR(H.ID)*/ CODIGO AS PROVEEDOR_ID, P.PRIMER_NOMBRE|| DECODE(P.SEGUNDO_NOMBRE,NULL,'',' '||P.SEGUNDO_NOMBRE)|| DECODE(P.PRIMER_APELLIDO,NULL,'',' '||P.PRIMER_APELLIDO)|| DECODE(P.SEGUNDO_APELLIDO,NULL,'',' '||P.SEGUNDO_APELLIDO) NOMBRE..."
RecordGroup,RG_SUB_GRUPO_SER,,YES,"SELECT A.TIP_COB CODIGO, B.DESCRIPCION DESCRIPCION FROM LIM_C_REC A, TIPO_COBERTURA_SALUD B WHERE B.CODIGO = A.TIP_COB AND A.SERVICIO = :SOLICITUD_SERVICIO.TIPO_SERVICIO AND A.PLAN = DBAPER.F_OBTEN_PARAMETRO_SEUS('SUB_GRUPO_ALTO_COSTO') AND B.CODIGO IN (SEL..."
RecordGroup,RG_SUCURSAL,,YES,"select CODIGO cdsucurs, NOMBRE dssucurs, NULL dsdirecc from SUCURSAL_REEMBOLSO order by 1"
RecordGroup,RG_USUARIO_APROB,,YES,"select b.descripcion usuario, b.pri_nom||' '||b.pri_ape nombre, a.correo, rtrim(to_char(a.mon_max,'99,999,999.99')) mon_max from reembolso.reemb_usuario_aprobacion a, usu_s_per b where b.codigo = a.cod_usuario and a.compania = :GLOBAL.COD_COMPANIA and b.des..."
