recordGroupName,type,columnCount,usedByLOVCount,hasQuery,queryPreview
RGRP_DUMMY,Static,0,0,Yes,                                        
RG_AFILIADO_REEMB,Query,0,0,Yes,"select A.ASEGURADO,A.SECUENCIA,LPAD(A.Asegurado, 7, '0') || LPAD(A.secuencia, 3, '0') NO_AFI,A.TIP_A..."
RG_BANCO,Query,0,0,Yes,"SELECT CODIGO, DESCRIPCION FROM BANCO_NUM_CTA ORDER BY 1"
RG_CENTRO_LABORA,Query,0,0,Yes,"SELECT DISTINCT H.CODIGO AS PROVEEDOR_ID,&#10;I.NOMBRE AS NOMBRE,&#10;DECODE(H.RED_COBERTURA,1,'Dent..."
RG_CIUDAD,Query,0,0,Yes,"select codigo, descripcion from municipio where provincia = :CREA_PSS.ESTADO_PSS order by codigo"
RG_COBERTURAS,Query,0,0,Yes,"select distinct x.codigo, x.descripcion &#10;from pla_stc p,cobertura_salud x&#10;where p.plan= :SOL..."
RG_DIAGNOSTICO,Query,0,0,Yes,"SELECT CODIGO, DESCRIPCION&#10;FROM DIAGNOSTICO D&#10;WHERE NOT EXISTS (SELECT 1 FROM CG_REF_CODES A..."
RG_ENDOSOS,Query,0,0,Yes,"SELECT CODIGO, DESC_ENDOSO&#10;  FROM TEM_ENDOSO_LOCAL WHERE USUARIO = USER"
RG_ESPECIALIDAD,Query,0,0,Yes,"SELECT E.ID CODIGO, E.NOMBRE&#10;FROM ESPECIALIDAD E, PROVEEDOR_ESPECIALIDAD PE&#10;WHERE E.ID = PE...."
RG_ESPEC_MED_ADD,Query,0,0,Yes,"SELECT E.ID CODIGO, E.NOMBRE&#10;FROM ESPECIALIDAD E, PROVEEDOR_ESPECIALIDAD PE&#10;WHERE E.ID = PE...."
RG_ESTADO,Query,0,0,Yes,"select codigo, descripcion from provincia where pais = :CREA_PSS.PAIS_PSS order by codigo"
RG_GRUPO_COBERTURA,Query,0,0,Yes,"SELECT distinct GC.CODIGO, GC.DESCRIPCION&#10; FROM PLAN_GRUPO_COBERTURA PC, GRUPO_COBERTURA GC &#10..."
RG_HIST_FALLECIDO,Query,0,0,Yes,"select fallecido, razon, to_char(fec_tra,'dd/mm/yyyy hh:mi:ss am') fec_tra, usuario&#10;from falleci..."
RG_LISTA_AFILIADOS,Query,0,0,Yes,"SELECT LPAD (AP.ASEGURADO, 7, 0) || LPAD (0, 3, 0) NO_AFILIADO,&#10;       'ASEGURADO' TIPO_AFIALIAD..."
RG_MEDICOS,Query,0,0,Yes,"SELECT PV.CODIGO, /*P.PRIMER_NOMBRE||&#10;       DECODE(P.SEGUNDO_NOMBRE,NULL,'',' '||P.SEGUNDO_NOMB..."
RG_NUMERO_CUENTA,Query,0,0,Yes,"SELECT /*A.CODIGO CODIGO_CUENTA,*/&#10;          A.NUM_CTA NUMERO_CUENTA_PROPIETARIO,&#10;          ..."
RG_PAIS,Query,0,0,Yes,"select codigo, descripcion from pais order by codigo"
RG_PLAN_ASEGURADO,Query,0,0,Yes,"SELECT CODIGO, DESCRIPCION, TIP_PLA, DSP_TIP_PLAN&#10;FROM TEMP_PLANES_ASE_REEMB_SERV"
RG_PRESTADORES_ADD,Query,0,0,Yes,"SELECT DISTINCT /*TO_CHAR(H.ID)*/ CODIGO AS PROVEEDOR_ID,&#10;P.PRIMER_NOMBRE||&#10;      DECODE(P.S..."
RG_SUB_GRUPO_SER,Query,0,0,Yes,"SELECT A.TIP_COB CODIGO, B.DESCRIPCION DESCRIPCION&#10;  FROM LIM_C_REC A, TIPO_COBERTURA_SALUD B&#1..."
RG_SUCURSAL,Query,0,0,Yes,"select CODIGO cdsucurs, NOMBRE dssucurs, NULL dsdirecc&#10; from SUCURSAL_REEMBOLSO&#10;order by 1"
RG_USUARIO_APROB,Query,0,0,Yes,"select b.descripcion usuario, b.pri_nom||' '||b.pri_ape nombre, a.correo, &#10;       rtrim(to_char(..."
